Age,Income,LoanAmount,CreditScore,YearsExperience,Gender,Education,City,EmploymentType,LoanApproved
59,49488.0,12003.0,706.0,15,Male,Bachelors,San Francisco,Salaried,1
35,65679.0,23668.0,795.0,27,Female,Masters,New York,Unemployed,0
37,53531.0,34860.0,822.0,11,Female,Masters,Chicago,Salaried,1
39,50328.0,29536.0,822.0,18,Female,PhD,Houston,Salaried,1
43,53825.0,23300.0,806.0,20,Female,Masters,Houston,Salaried,1
52,66699.0,37764.0,737.0,19,Female,High School,San Francisco,Self-Employed,1
38,35893.0,28690.0,838.0,22,Female,High School,New York,Self-Employed,0
46,46491.0,28765.0,359.0,17,Male,High School,Houston,Self-Employed,0
53,56104.0,24894.0,458.0,13,Female,High School,San Francisco,Unemployed,0
23,61810.0,16915.0,605.0,29,Female,Bachelors,San Francisco,Self-Employed,1
29,27845.0,18202.0,404.0,8,Female,PhD,Chicago,Salaried,0
48,66777.0,14871.0,386.0,27,Male,Bachelors,Chicago,Unemployed,0
36,42191.0,18239.0,778.0,8,Female,High School,Chicago,Self-Employed,1
55,66250.0,34751.0,616.0,33,Male,Bachelors,San Francisco,Self-Employed,1
28,44969.0,21970.0,680.0,21,Female,PhD,San Francisco,Salaried,1
42,49488.0,12672.0,707.0,23,Male,Bachelors,New York,Salaried,1
69,45864.0,10859.0,842.0,32,Male,High School,New York,Salaried,1
42,53602.0,12725.0,618.0,35,Female,Bachelors,Chicago,Salaried,1
53,79358.0,29879.0,356.0,3,Female,Bachelors,Houston,Unemployed,0
29,52634.0,27393.0,815.0,3,Male,Bachelors,Chicago,Self-Employed,1
68,66399.0,36816.0,469.0,1,Female,PhD,San Francisco,Self-Employed,0
50,19709.0,26533.0,386.0,11,Male,Bachelors,Chicago,Unemployed,0
18,59975.0,31723.0,713.0,2,Male,Masters,New York,Salaried,1
38,48568.0,15845.0,725.0,7,Male,Masters,Chicago,Self-Employed,1
42,45707.0,24330.0,764.0,10,Male,PhD,Houston,Salaried,1
39,66833.0,17555.0,812.0,35,Male,Bachelors,New York,Self-Employed,1
42,49836.0,26052.0,769.0,35,Female,Masters,New York,Salaried,1
46,49488.0,33076.0,493.0,21,Male,Masters,San Francisco,Salaried,0
53,57677.0,8206.0,524.0,12,Male,High School,Chicago,Unemployed,0
29,44991.0,17538.0,547.0,23,Female,Bachelors,Houston,Self-Employed,0
46,15171.0,19709.0,475.0,3,Male,Masters,Houston,Salaried,0
61,49899.0,8880.0,309.0,0,Male,PhD,Houston,Self-Employed,1
21,53582.0,25906.0,737.0,20,Male,High School,New York,Salaried,1
22,30325.0,18436.0,568.0,38,Female,Bachelors,New York,Salaried,0
55,44752.0,22300.0,518.0,6,Female,Bachelors,Chicago,Self-Employed,0
35,52427.0,21396.0,397.0,19,Female,PhD,San Francisco,Unemployed,0
62,52628.0,34065.0,579.0,21,Female,Masters,New York,Salaried,0
49,70200.0,6308.0,310.0,14,Female,Masters,New York,Self-Employed,0
25,76238.0,12265.0,767.0,1,Female,Masters,Chicago,Salaried,1
24,65183.0,15278.0,389.0,7,Female,PhD,San Francisco,Self-Employed,0
33,61915.0,27717.0,537.0,8,Male,PhD,San Francisco,Self-Employed,0
59,33323.0,7439.0,667.0,5,Male,Bachelors,Houston,Unemployed,0
36,51827.0,28418.0,354.0,0,Female,Bachelors,Houston,Salaried,0
19,63028.0,5245.0,396.0,22,Male,Bachelors,New York,Salaried,0
53,45544.0,32106.0,641.0,10,Male,High School,San Francisco,Salaried,1
24,45083.0,21991.0,594.0,2,Female,PhD,New York,Self-Employed,0
62,22084.0,24325.0,457.0,13,Female,Bachelors,Chicago,Salaried,0
48,62883.0,22317.0,612.0,28,Male,Bachelors,San Francisco,Self-Employed,1
49,50547.0,23130.0,519.0,36,Male,Bachelors,Houston,Self-Employed,0
29,37697.0,9324.0,407.0,21,Female,Masters,Houston,Salaried,0
37,48436.0,37691.0,800.0,12,Male,Masters,Houston,Salaried,1
51,57072.0,17015.0,431.0,0,Male,PhD,Houston,Salaried,0
61,79989.0,4493.0,579.0,0,Male,PhD,Houston,Salaried,0
58,74747.0,17349.0,310.0,32,Male,PhD,New York,Salaried,0
68,56350.0,12693.0,817.0,35,Female,High School,Houston,Self-Employed,1
52,56781.0,6447.0,315.0,39,Female,PhD,Chicago,Salaried,0
42,49488.0,21918.0,549.0,14,Male,High School,Houston,Salaried,0
39,49488.0,19507.0,579.0,20,Male,Bachelors,San Francisco,Self-Employed,1
37,48959.0,15033.0,807.0,31,Male,High School,San Francisco,Salaried,1
38,42119.0,5283.0,579.0,2,Female,Bachelors,Houston,Salaried,0
38,58830.0,32992.0,668.0,23,Female,Masters,San Francisco,Self-Employed,1
52,32318.0,16065.0,313.0,7,Female,Bachelors,New York,Unemployed,0
44,67469.0,17816.0,639.0,24,Male,High School,New York,Salaried,1
36,55838.0,15455.0,742.0,24,Female,Bachelors,San Francisco,Self-Employed,1
23,52702.0,14109.0,684.0,37,Female,High School,San Francisco,Self-Employed,1
21,50577.0,24044.0,644.0,22,Male,PhD,New York,Self-Employed,1
51,48468.0,19876.0,599.0,28,Female,PhD,New York,Self-Employed,0
52,45408.0,16018.0,604.0,15,Male,Bachelors,San Francisco,Self-Employed,1
55,98602.0,9555.0,334.0,18,Male,High School,Chicago,Unemployed,0
59,58448.0,14057.0,809.0,27,Female,Bachelors,San Francisco,Self-Employed,1
38,26696.0,29231.0,657.0,5,Female,Bachelors,San Francisco,Self-Employed,0
30,54765.0,1325.0,707.0,3,Female,Bachelors,Chicago,Self-Employed,1
26,36515.0,9810.0,327.0,31,Male,PhD,Chicago,Unemployed,0
39,68186.0,17120.0,565.0,1,Female,PhD,Houston,Unemployed,0
21,49655.0,9840.0,735.0,31,Male,Masters,Houston,Self-Employed,1
43,49030.0,20496.0,847.0,11,Female,Masters,San Francisco,Self-Employed,1
55,43658.0,23612.0,731.0,2,Female,Masters,San Francisco,Salaried,1
66,49488.0,8563.0,706.0,19,Male,Masters,Chicago,Unemployed,0
66,41812.0,17958.0,622.0,26,Male,Masters,Houston,Salaried,0
43,23397.0,12434.0,729.0,3,Male,PhD,Houston,Self-Employed,0
33,72620.0,10057.0,564.0,10,Female,Bachelors,Chicago,Unemployed,0
51,45757.0,20867.0,683.0,33,Male,PhD,Houston,Self-Employed,1
41,63420.0,26013.0,686.0,30,Male,PhD,Houston,Salaried,1
60,58295.0,27900.0,720.0,8,Female,High School,Houston,Self-Employed,1
25,65973.0,26616.0,518.0,9,Female,Masters,Houston,Self-Employed,0
28,50516.0,27330.0,337.0,7,Male,Bachelors,Chicago,Salaried,0
42,51220.0,12760.0,697.0,20,Male,Bachelors,New York,Self-Employed,1
46,43676.0,14118.0,845.0,9,Male,PhD,San Francisco,Self-Employed,1
35,62605.0,31637.0,770.0,36,Female,High School,San Francisco,Self-Employed,1
28,41417.0,34132.0,771.0,16,Female,PhD,New York,Salaried,1
58,57267.0,13589.0,842.0,5,Male,PhD,Houston,Self-Employed,1
41,71186.0,22900.0,605.0,23,Male,High School,San Francisco,Self-Employed,1
61,35759.0,13011.0,614.0,30,Male,PhD,New York,Unemployed,0
30,67100.0,21016.0,617.0,6,Male,High School,San Francisco,Self-Employed,1
64,39298.0,31396.0,636.0,0,Female,Bachelors,New York,Salaried,0
53,61290.0,8297.0,579.0,14,Male,Bachelors,Chicago,Salaried,0
61,67855.0,15106.0,751.0,10,Female,Bachelors,San Francisco,Self-Employed,1
47,58935.0,14932.0,454.0,19,Male,Bachelors,Chicago,Self-Employed,0
53,60148.0,29031.0,705.0,25,Male,Bachelors,New York,Self-Employed,1
42,40701.0,15229.0,577.0,22,Female,Masters,San Francisco,Self-Employed,0
35,47911.0,35026.0,663.0,4,Male,Masters,Chicago,Self-Employed,1
64,46568.0,23612.0,655.0,20,Female,Bachelors,San Francisco,Self-Employed,1
51,54405.0,10532.0,383.0,4,Male,High School,Houston,Self-Employed,0
59,55628.0,33437.0,406.0,36,Male,High School,Houston,Salaried,0
25,37408.0,21909.0,636.0,18,Male,Masters,Chicago,Salaried,0
60,58834.0,9834.0,766.0,14,Female,High School,Chicago,Salaried,1
30,13070.0,10326.0,414.0,3,Male,High School,San Francisco,Self-Employed,0
32,38629.0,19885.0,822.0,38,Female,PhD,New York,Salaried,0
34,45010.0,14098.0,686.0,7,Female,High School,San Francisco,Self-Employed,1
23,44506.0,25275.0,699.0,5,Male,Bachelors,San Francisco,Self-Employed,1
53,57500.0,12257.0,698.0,24,Female,Masters,New York,Self-Employed,1
61,85861.0,13755.0,310.0,27,Female,Bachelors,New York,Self-Employed,0
18,64330.0,21800.0,516.0,21,Female,Bachelors,Chicago,Self-Employed,0
29,39541.0,28711.0,575.0,13,Female,Bachelors,Chicago,Unemployed,0
42,47242.0,18479.0,461.0,22,Female,High School,San Francisco,Salaried,1
20,67689.0,32278.0,403.0,34,Female,Bachelors,New York,Salaried,0
41,37960.0,14457.0,727.0,14,Male,Bachelors,Houston,Self-Employed,0
43,49488.0,23153.0,367.0,31,Male,Bachelors,New York,Salaried,0
57,49891.0,35293.0,621.0,36,Male,High School,Chicago,Unemployed,0
31,63428.0,13119.0,343.0,39,Male,PhD,Houston,Unemployed,0
23,65527.0,35274.0,797.0,1,Female,PhD,San Francisco,Salaried,1
57,70945.0,29062.0,400.0,22,Male,High School,New York,Unemployed,0
60,43193.0,18268.0,825.0,27,Male,Bachelors,New York,Salaried,1
62,43202.0,17762.0,582.0,4,Female,Masters,Chicago,Salaried,0
54,44473.0,715.0,687.0,12,Male,Masters,Chicago,Self-Employed,1
49,26391.0,17941.0,620.0,3,Male,Bachelors,New York,Unemployed,1
44,71986.0,15489.0,615.0,2,Female,High School,Houston,Salaried,1
27,50547.0,11000.0,578.0,35,Male,Masters,San Francisco,Self-Employed,0
30,49775.0,14138.0,352.0,39,Male,Bachelors,New York,Unemployed,0
24,49008.0,18383.0,412.0,7,Female,Masters,San Francisco,Salaried,0
62,46504.0,19584.0,661.0,11,Male,Bachelors,New York,Unemployed,0
47,36485.0,22646.0,390.0,2,Female,PhD,Houston,Salaried,1
39,35401.0,-4250.0,615.0,32,Female,PhD,Chicago,Unemployed,0
54,71096.0,17713.0,647.0,25,Male,PhD,Chicago,Self-Employed,1
64,71109.0,26022.0,673.0,19,Female,Masters,San Francisco,Self-Employed,1
49,45426.0,14337.0,757.0,28,Male,Bachelors,San Francisco,Salaried,1
31,24772.0,27276.0,334.0,39,Female,Masters,Houston,Self-Employed,0
54,40560.0,21999.0,782.0,3,Female,High School,San Francisco,Self-Employed,1
22,60075.0,3226.0,624.0,1,Female,Masters,San Francisco,Self-Employed,1
41,69963.0,10168.0,691.0,21,Female,PhD,Chicago,Self-Employed,1
41,22459.0,30893.0,579.0,8,Male,High School,Chicago,Unemployed,0
61,65735.0,20213.0,655.0,8,Male,Masters,San Francisco,Unemployed,0
58,60578.0,31602.0,585.0,38,Female,Masters,San Francisco,Salaried,0
39,73604.0,31004.0,687.0,21,Male,Bachelors,Chicago,Salaried,1
58,41690.0,35094.0,634.0,2,Male,Masters,Houston,Salaried,1
46,41091.0,22856.0,599.0,18,Female,High School,Chicago,Self-Employed,0
24,44294.0,29942.0,609.0,9,Male,Bachelors,Houston,Self-Employed,1
24,64501.0,9354.0,665.0,2,Male,Bachelors,New York,Salaried,1
38,43880.0,33146.0,844.0,11,Male,PhD,New York,Salaried,1
54,45817.0,21820.0,817.0,12,Male,Bachelors,Houston,Self-Employed,1
49,69003.0,26770.0,642.0,23,Male,PhD,San Francisco,Salaried,1
54,27869.0,27477.0,579.0,31,Male,Masters,New York,Unemployed,1
27,70664.0,24057.0,814.0,37,Female,High School,San Francisco,Self-Employed,1
22,48269.0,19755.0,759.0,6,Male,Bachelors,New York,Salaried,1
28,75400.0,33593.0,758.0,18,Male,Masters,New York,Self-Employed,1
46,68366.0,9726.0,775.0,32,Female,PhD,Chicago,Salaried,1
21,67940.0,19356.0,829.0,12,Female,PhD,New York,Self-Employed,1
40,39282.0,11765.0,324.0,29,Male,Bachelors,San Francisco,Salaried,0
30,70572.0,20421.0,759.0,10,Female,Bachelors,San Francisco,Unemployed,0
51,35682.0,6670.0,615.0,33,Female,High School,New York,Self-Employed,1
24,29960.0,27092.0,613.0,9,Female,PhD,Chicago,Salaried,0
19,40157.0,30189.0,529.0,26,Female,Bachelors,San Francisco,Salaried,0
19,69341.0,15113.0,810.0,7,Female,PhD,New York,Self-Employed,1
53,57070.0,17504.0,360.0,28,Male,PhD,Houston,Self-Employed,0
24,42901.0,27453.0,824.0,14,Male,PhD,New York,Self-Employed,1
43,57270.0,25931.0,579.0,35,Female,High School,Houston,Self-Employed,0
62,81481.0,15660.0,643.0,27,Female,PhD,San Francisco,Self-Employed,1
35,52823.0,26017.0,679.0,7,Female,PhD,Chicago,Salaried,1
45,47212.0,19349.0,559.0,32,Female,Masters,Houston,Unemployed,0
30,47048.0,35902.0,762.0,16,Male,High School,Chicago,Salaried,1
30,60270.0,16705.0,509.0,6,Female,PhD,New York,Self-Employed,1
63,49488.0,24020.0,820.0,30,Male,PhD,Chicago,Unemployed,0
56,50845.0,7102.0,843.0,35,Female,Bachelors,Houston,Salaried,1
33,38233.0,21219.0,658.0,21,Female,PhD,Chicago,Unemployed,0
41,51155.0,18962.0,610.0,22,Female,Masters,New York,Self-Employed,1
45,41992.0,33762.0,646.0,18,Female,High School,Chicago,Salaried,1
54,68189.0,11230.0,533.0,17,Male,High School,New York,Unemployed,0
28,68856.0,29110.0,640.0,33,Male,Masters,Houston,Salaried,1
54,42179.0,14382.0,581.0,19,Male,Bachelors,Houston,Salaried,0
56,58953.0,30764.0,658.0,20,Female,Masters,Chicago,Self-Employed,1
25,45312.0,17084.0,848.0,5,Male,PhD,New York,Unemployed,1
45,57663.0,21689.0,792.0,10,Male,Bachelors,San Francisco,Salaried,1
59,47802.0,24574.0,660.0,36,Male,PhD,Houston,Self-Employed,1
65,56316.0,17726.0,408.0,31,Female,Bachelors,Chicago,Self-Employed,0
60,39803.0,26091.0,424.0,24,Female,Bachelors,New York,Salaried,0
38,66420.0,16758.0,590.0,30,Male,High School,Houston,Unemployed,0
59,44347.0,22251.0,670.0,20,Male,PhD,Chicago,Self-Employed,1
47,30730.0,15418.0,774.0,27,Male,Bachelors,San Francisco,Salaried,0
19,64146.0,21155.0,755.0,6,Male,PhD,Houston,Unemployed,0
64,84422.0,18363.0,758.0,35,Female,Bachelors,New York,Self-Employed,1
23,51794.0,19391.0,757.0,28,Female,PhD,Chicago,Salaried,1
57,52100.0,9863.0,404.0,18,Female,PhD,San Francisco,Self-Employed,0
64,33478.0,17558.0,358.0,16,Male,Bachelors,Chicago,Unemployed,0
35,57044.0,10629.0,595.0,26,Female,High School,New York,Unemployed,0
52,49488.0,14667.0,445.0,19,Male,PhD,New York,Unemployed,0
36,54891.0,20796.0,817.0,9,Male,High School,Houston,Salaried,1
40,79016.0,30195.0,840.0,18,Male,High School,New York,Self-Employed,1
57,52900.0,18506.0,361.0,2,Female,PhD,San Francisco,Unemployed,1
47,44993.0,14357.0,825.0,1,Male,PhD,San Francisco,Salaried,1
38,53451.0,7572.0,781.0,26,Male,Bachelors,New York,Salaried,1
49,53356.0,27367.0,753.0,20,Female,High School,New York,Salaried,1
50,53887.0,24437.0,568.0,28,Male,Masters,Chicago,Unemployed,0
34,46675.0,8338.0,765.0,19,Female,Bachelors,Houston,Self-Employed,1
30,48676.0,14604.0,362.0,15,Male,Bachelors,New York,Self-Employed,0
59,79563.0,22287.0,399.0,1,Female,Masters,New York,Salaried,0
47,43306.0,15874.0,801.0,15,Female,Masters,Houston,Salaried,1
53,51123.0,26486.0,762.0,3,Male,Masters,Chicago,Salaried,1
68,45717.0,6351.0,639.0,39,Male,High School,New York,Unemployed,0
42,62298.0,18860.0,526.0,18,Male,Masters,San Francisco,Salaried,0
27,31366.0,20638.0,483.0,29,Male,PhD,Chicago,Self-Employed,0
69,40940.0,14967.0,714.0,19,Male,Masters,Chicago,Salaried,1
39,39850.0,25311.0,762.0,8,Female,Bachelors,Chicago,Salaried,0
18,63160.0,23413.0,441.0,18,Female,High School,San Francisco,Salaried,0
20,42505.0,17133.0,573.0,30,Female,Bachelors,Houston,Unemployed,0
62,51682.0,18521.0,587.0,4,Male,Bachelors,Houston,Self-Employed,0
57,68930.0,18624.0,775.0,39,Male,PhD,San Francisco,Unemployed,0
39,40289.0,28549.0,658.0,38,Male,Masters,San Francisco,Salaried,1
39,42624.0,21289.0,547.0,39,Male,PhD,Chicago,Unemployed,0
66,32242.0,21782.0,481.0,36,Female,PhD,Chicago,Unemployed,0
47,49923.0,13345.0,538.0,9,Male,High School,San Francisco,Unemployed,0
46,49771.0,23492.0,577.0,7,Male,PhD,New York,Self-Employed,0
28,64243.0,30824.0,807.0,7,Male,Masters,San Francisco,Salaried,1
28,58082.0,23706.0,718.0,32,Female,Bachelors,New York,Unemployed,0
33,63522.0,24764.0,579.0,32,Female,High School,Houston,Unemployed,0
53,49488.0,25029.0,392.0,0,Male,High School,Chicago,Unemployed,0
40,60518.0,30393.0,653.0,21,Female,PhD,San Francisco,Self-Employed,1
24,56160.0,7968.0,584.0,39,Female,High School,San Francisco,Self-Employed,0
69,35731.0,21282.0,359.0,38,Female,Bachelors,Houston,Self-Employed,0
58,18612.0,15720.0,652.0,18,Female,Bachelors,San Francisco,Unemployed,0
18,58892.0,15361.0,754.0,9,Female,PhD,New York,Self-Employed,1
68,40564.0,4452.0,806.0,8,Male,Bachelors,Houston,Self-Employed,1
43,48741.0,18963.0,818.0,11,Female,Masters,San Francisco,Salaried,1
39,41778.0,12014.0,384.0,37,Male,Masters,Houston,Self-Employed,0
62,47465.0,18051.0,780.0,37,Female,High School,San Francisco,Salaried,1
68,46550.0,18870.0,331.0,3,Female,Masters,San Francisco,Unemployed,0
23,65916.0,16535.0,363.0,16,Male,PhD,San Francisco,Unemployed,0
68,59256.0,23777.0,506.0,8,Male,Masters,Houston,Self-Employed,0
21,37438.0,27754.0,768.0,17,Female,Bachelors,Houston,Self-Employed,0
45,50343.0,10822.0,318.0,30,Male,Bachelors,Chicago,Self-Employed,0
24,34372.0,16814.0,667.0,25,Male,Masters,Chicago,Self-Employed,0
39,13906.0,7758.0,396.0,23,Female,High School,Chicago,Unemployed,0
19,41039.0,17897.0,579.0,20,Female,High School,San Francisco,Self-Employed,0
57,79162.0,10517.0,571.0,5,Female,Bachelors,Houston,Unemployed,0
44,49488.0,20394.0,611.0,20,Male,Masters,New York,Self-Employed,1
34,63749.0,30886.0,429.0,39,Male,Masters,San Francisco,Salaried,0
19,40856.0,10847.0,740.0,3,Female,Bachelors,Houston,Unemployed,0
68,71324.0,14716.0,643.0,16,Male,Masters,San Francisco,Self-Employed,1
57,43544.0,17267.0,705.0,31,Male,PhD,New York,Salaried,1
65,47194.0,13192.0,729.0,21,Male,Bachelors,Chicago,Salaried,1
66,66576.0,20730.0,733.0,9,Female,Bachelors,San Francisco,Self-Employed,1
59,38285.0,14519.0,646.0,13,Male,Masters,San Francisco,Salaried,0
33,79953.0,18397.0,579.0,21,Male,Bachelors,Chicago,Self-Employed,0
52,48543.0,21063.0,628.0,9,Female,PhD,Chicago,Self-Employed,1
58,74509.0,16627.0,774.0,36,Male,Masters,New York,Self-Employed,1
65,68130.0,7289.0,671.0,32,Male,Masters,Houston,Self-Employed,1
36,60689.0,18134.0,347.0,27,Male,Masters,Chicago,Self-Employed,0
43,37229.0,25346.0,300.0,34,Female,Bachelors,Chicago,Self-Employed,0
20,59535.0,20802.0,468.0,26,Male,PhD,New York,Unemployed,0
51,57403.0,36584.0,823.0,23,Male,Bachelors,San Francisco,Salaried,1
45,49488.0,9068.0,602.0,31,Male,PhD,New York,Self-Employed,1
63,50758.0,23176.0,703.0,3,Female,Masters,Houston,Self-Employed,1
56,28506.0,23961.0,537.0,7,Male,Bachelors,Chicago,Salaried,0
49,66450.0,15412.0,640.0,21,Male,High School,New York,Unemployed,0
54,57670.0,15422.0,366.0,29,Female,Bachelors,San Francisco,Unemployed,0
47,42316.0,23603.0,667.0,39,Male,PhD,Chicago,Salaried,1
29,66165.0,25215.0,707.0,36,Female,Masters,New York,Unemployed,0
40,46395.0,24413.0,395.0,7,Female,Masters,Chicago,Salaried,0
51,46428.0,22485.0,435.0,17,Male,PhD,Houston,Salaried,1
20,56608.0,26115.0,747.0,25,Female,Bachelors,New York,Self-Employed,1
29,46382.0,24712.0,727.0,31,Male,PhD,Houston,Salaried,1
60,54067.0,15334.0,673.0,37,Female,Masters,Chicago,Unemployed,0
20,75385.0,1503.0,652.0,12,Male,High School,New York,Self-Employed,1
52,55158.0,24951.0,618.0,20,Female,PhD,San Francisco,Unemployed,0
20,50857.0,25970.0,626.0,24,Female,Masters,San Francisco,Salaried,1
21,45773.0,27116.0,630.0,25,Female,PhD,New York,Self-Employed,1
26,75327.0,37664.0,716.0,3,Male,Masters,Chicago,Self-Employed,1
56,31450.0,24445.0,470.0,23,Male,PhD,San Francisco,Unemployed,0
31,58639.0,22703.0,681.0,21,Female,PhD,New York,Self-Employed,1
40,36615.0,27484.0,573.0,3,Male,High School,New York,Salaried,0
66,50085.0,14824.0,646.0,4,Male,High School,San Francisco,Salaried,1
37,49488.0,22361.0,418.0,27,Female,High School,Houston,Self-Employed,0
45,72688.0,17439.0,609.0,2,Male,Bachelors,San Francisco,Self-Employed,1
68,37678.0,17709.0,309.0,30,Female,Masters,Houston,Unemployed,0
20,33382.0,30624.0,685.0,33,Male,Bachelors,San Francisco,Salaried,0
54,70989.0,23129.0,767.0,29,Male,Bachelors,Chicago,Self-Employed,1
45,49469.0,8706.0,549.0,24,Male,PhD,Houston,Salaried,0
66,63740.0,10278.0,713.0,25,Male,PhD,New York,Unemployed,0
62,49971.0,23239.0,806.0,22,Female,Masters,New York,Salaried,1
32,53530.0,6423.0,542.0,19,Male,Masters,Chicago,Unemployed,0
50,45828.0,22998.0,368.0,32,Female,Masters,New York,Unemployed,0
38,44561.0,15787.0,746.0,28,Female,Masters,Houston,Salaried,1
25,45233.0,29686.0,837.0,23,Female,Bachelors,New York,Self-Employed,1
54,77941.0,17528.0,515.0,3,Female,PhD,New York,Unemployed,0
61,55970.0,25614.0,754.0,2,Female,Bachelors,San Francisco,Salaried,0
42,49364.0,34136.0,744.0,10,Male,PhD,San Francisco,Self-Employed,1
48,53149.0,17949.0,300.0,25,Female,High School,Houston,Salaried,0
62,89573.0,16078.0,750.0,10,Male,High School,New York,Salaried,1
40,28990.0,20180.0,311.0,35,Male,Bachelors,New York,Self-Employed,0
20,52198.0,7184.0,340.0,13,Female,Masters,Chicago,Salaried,0
27,44083.0,10920.0,715.0,14,Female,Masters,Chicago,Self-Employed,1
61,44678.0,15965.0,844.0,24,Female,Bachelors,Chicago,Salaried,1
55,25297.0,24981.0,370.0,8,Female,Bachelors,San Francisco,Salaried,0
61,51368.0,14953.0,503.0,16,Male,Masters,Houston,Unemployed,0
21,49869.0,6283.0,555.0,18,Female,PhD,San Francisco,Self-Employed,0
38,43866.0,20426.0,609.0,22,Female,Masters,New York,Self-Employed,1
46,54934.0,21866.0,831.0,23,Male,Bachelors,Chicago,Salaried,1
46,49488.0,19693.0,627.0,14,Female,High School,Chicago,Self-Employed,1
58,49411.0,28119.0,626.0,17,Male,Bachelors,Houston,Salaried,1
66,65488.0,24503.0,420.0,12,Female,Bachelors,New York,Self-Employed,0
33,16156.0,25789.0,335.0,11,Female,High School,Chicago,Unemployed,0
43,49329.0,30922.0,663.0,1,Female,PhD,San Francisco,Self-Employed,1
40,65562.0,8404.0,835.0,7,Male,PhD,Chicago,Salaried,1
51,59614.0,38518.0,307.0,1,Female,Masters,Chicago,Salaried,0
66,49086.0,20561.0,727.0,17,Male,PhD,New York,Salaried,1
45,60160.0,25825.0,599.0,19,Male,High School,Houston,Salaried,0
57,73382.0,31554.0,437.0,38,Female,PhD,Houston,Self-Employed,0
64,71388.0,16184.0,651.0,23,Male,High School,Chicago,Self-Employed,1
33,64289.0,26027.0,700.0,17,Female,High School,Chicago,Salaried,1
34,38424.0,19918.0,530.0,26,Male,Bachelors,Houston,Unemployed,0
60,55571.0,20687.0,720.0,36,Male,PhD,New York,Salaried,1
40,52980.0,23427.0,830.0,24,Male,PhD,Chicago,Salaried,1
50,26170.0,20518.0,614.0,15,Male,Masters,San Francisco,Unemployed,1
69,50466.0,12364.0,812.0,29,Male,Bachelors,San Francisco,Self-Employed,1
26,66178.0,18752.0,579.0,36,Female,PhD,Chicago,Salaried,0
45,28746.0,10007.0,694.0,25,Male,Bachelors,Houston,Self-Employed,0
62,32942.0,9179.0,592.0,16,Female,High School,San Francisco,Salaried,0
59,60377.0,15514.0,539.0,14,Male,PhD,Chicago,Salaried,0
45,38745.0,30783.0,499.0,27,Female,Masters,San Francisco,Unemployed,0
68,44554.0,23978.0,408.0,21,Female,Bachelors,Houston,Self-Employed,0
47,53460.0,13575.0,416.0,35,Male,Bachelors,Houston,Unemployed,0
49,61301.0,32833.0,446.0,22,Male,Bachelors,Chicago,Salaried,0
26,60158.0,27909.0,338.0,9,Male,Bachelors,New York,Salaried,0
64,83083.0,20143.0,301.0,1,Male,Bachelors,Chicago,Salaried,0
29,54769.0,18641.0,781.0,18,Male,High School,Houston,Self-Employed,1
22,28500.0,24058.0,849.0,12,Female,Bachelors,New York,Salaried,1
25,73987.0,39461.0,667.0,31,Male,PhD,San Francisco,Salaried,1
69,67405.0,28975.0,522.0,16,Male,Masters,Houston,Salaried,0
48,71489.0,30959.0,576.0,10,Female,High School,San Francisco,Salaried,1
66,42810.0,25356.0,300.0,4,Male,Masters,Chicago,Salaried,1
51,57975.0,21453.0,300.0,17,Male,Masters,Chicago,Salaried,0
19,34036.0,27485.0,415.0,22,Female,Masters,San Francisco,Unemployed,0
52,51316.0,14423.0,636.0,27,Male,Bachelors,San Francisco,Self-Employed,1
41,72563.0,11538.0,616.0,38,Male,Bachelors,Houston,Self-Employed,1
61,64510.0,26740.0,731.0,19,Male,Bachelors,San Francisco,Salaried,1
42,60984.0,34482.0,732.0,8,Male,PhD,Chicago,Self-Employed,1
21,39141.0,17901.0,532.0,2,Female,Bachelors,Chicago,Unemployed,0
40,47584.0,21497.0,709.0,38,Male,High School,Chicago,Salaried,1
69,64864.0,15572.0,531.0,10,Female,PhD,New York,Self-Employed,0
35,29690.0,8001.0,354.0,11,Male,Masters,San Francisco,Self-Employed,0
18,54155.0,19697.0,403.0,24,Male,PhD,San Francisco,Self-Employed,0
28,53222.0,21119.0,780.0,15,Female,PhD,Chicago,Salaried,1
49,62890.0,20358.0,773.0,31,Female,Masters,Chicago,Salaried,1
61,33831.0,-1341.0,825.0,12,Male,Masters,Chicago,Unemployed,0
53,48335.0,5026.0,617.0,28,Male,High School,Chicago,Salaried,1
65,54787.0,16269.0,839.0,28,Male,PhD,New York,Unemployed,0
24,21103.0,11157.0,659.0,31,Male,Bachelors,Chicago,Unemployed,0
51,41666.0,27132.0,579.0,28,Female,Masters,New York,Salaried,0
48,39345.0,14425.0,446.0,26,Female,High School,New York,Unemployed,0
43,58394.0,23958.0,594.0,15,Male,Masters,New York,Salaried,0
58,39085.0,7028.0,810.0,8,Male,Bachelors,Chicago,Salaried,0
35,59156.0,27719.0,579.0,5,Male,Bachelors,San Francisco,Self-Employed,0
36,69581.0,36180.0,313.0,34,Female,Bachelors,New York,Unemployed,0
19,33652.0,1720.0,749.0,30,Male,Bachelors,San Francisco,Salaried,0
21,30884.0,18422.0,307.0,31,Male,PhD,New York,Self-Employed,0
29,54121.0,25889.0,380.0,39,Male,High School,San Francisco,Unemployed,0
51,31712.0,13753.0,371.0,27,Male,Bachelors,Chicago,Salaried,0
24,36780.0,23383.0,579.0,23,Male,Masters,Houston,Salaried,0
